PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
3r;7;Fustal;48;Palma cumare;Astrocaryum chambira Burret;Arecaceae;14;8;62;0,20;0,0306;0,1591;0,2784;7;6;962871,3715;912971,8249
3r;8;Fustal;49;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;15;10;71;0,23;0,0401;0,2607;0,3911;7;7;962883,4096;912983,9841
3r;8;Fustal;50;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;6;4;34;0,11;0,0092;0,0239;0,0359;4;7;962884,1503;912984,5368
3r;8;Fustal;51;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;11;8;67;0,21;0,0357;0,1858;0,2554;6;5;962884,5209;912985,2738
3r;8;Fustal;52;Palma cumare;Astrocaryum chambira Burret;Arecaceae;9;5;47;0,15;0,0176;0,0571;0,1028;6;6;962884,8912;912985,458
3r;8;Fustal;53;Merecure;Licania leucosepala Griseb.;Chrysobalanaceae;22;16;160;0,51;0,2037;2,1187;2,9132;18;16;962899,6998;912981,2133
3r;9;Fustal;54;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;15;12;84;0,27;0,0561;0,4380;0,5475;6;6;962909,1434;912986,3701
3r;9;Fustal;55;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;7;5;36;0,11;0,0103;0,0335;0,0469;4;4;962902,1106;912991,7176
3r;9;Fustal;56;NN 1;Matayba elegans Radlk.;Sapindaceae;11;7;46;0,15;0,0168;0,0766;0,1204;7;7;962897,4836;912994,8525
3r;9;Fustal;57;Malagueto negro;Guatteria schomburgkiana Mart.;Annonaceae;14;12;44;0,14;0,0154;0,1202;0,1402;6;5;962902,6677;912996,1406
3r;9;Fustal;58;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;15;9;49,5;0,16;0,0195;0,1141;0,1901;8;8;962903,038;912996,3248
3r;9;Fustal;59;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;14;10;50;0,16;0,0199;0,1293;0,1810;6;5;962914,5092;912978,996
3r;10;Fustal;60;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;10;8;34,5;0,11;0,0095;0,0493;0,0616;6;6;962920,4362;912986,3657
3r;10;Fustal;62;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;17;12;70;0,22;0,0390;0,3041;0,4309;8;9;962917,8478;912995,0289
3r;10;Fustal;63;Laurel;Ocotea cf. puberula (Rich.) Nees;Lauraceae;15;10;50;0,16;0,0199;0,1293;0,1940;6;7;962914,147;912999,6379
3r;10;Fustal;64;Malagueto negro;Guatteria schomburgkiana Mart.;Annonaceae;20;16;67;0,21;0,0357;0,3715;0,4644;12;10;962906,7417;912999,2722
3r;10;Fustal;65;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;15;13;50;0,16;0,0199;0,1681;0,1940;7;6;962907,8495;912991,5311
3r;10;Fustal;61;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;16;12;65;0,21;0,0336;0,2622;0,3497;8;8;962908,2195;912990,978
4r;1;Fustal;1;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;14;12;52;0,17;0,0215;0,1678;0,1958;4;4;962590,1703;913468,8121
4r;1;Fustal;2;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;16;8;94;0,30;0,0703;0,3656;0,7313;8;8;962603,4989;913467,3324
4r;1;Fustal;3;Carano aniz;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;16;13;57,5;0,18;0,0263;0,2223;0,2736;7;7;962588,6877;913464,758
4r;1;Fustal;4;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;9;4;59;0,19;0,0277;0,0720;0,1621;5;5;962587,2047;913459,5981
4r;1;Fustal;5;Palma cumare;Astrocaryum chambira Burret;Arecaceae;19;16;61;0,19;0,0296;0,3080;0,3657;4;4;962586,0929;913457,0183
4r;1;Fustal;6;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;13;8;53;0,17;0,0224;0,1162;0,1889;7;6;962587,0167;913452,2261
4r;1;Fustal;7;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;10;7;36;0,11;0,0103;0,0469;0,0670;6;5;962589,7935;913452,0407
4r;1;Fustal;8;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;13;9;41;0,13;0,0134;0,0783;0,1130;5;4;962588,3117;913450,014
4r;1;Fustal;9;Palma cumare;Astrocaryum chambira Burret;Arecaceae;15;12;54;0,17;0,0232;0,1810;0,2262;4;4;962589,7963;913459,2285
4r;1;Fustal;10;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;10;4;50;0,16;0,0199;0,0517;0,1293;8;9;962590,1675;913461,6243
4r;2;Fustal;11;Brasil;Hymenaea oblongifolia Huber;Fabaceae;15;12;72;0,23;0,0413;0,3218;0,4022;8;12;962586,276;913451,8578
4r;2;Fustal;12;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;7;5;75,5;0,24;0,0454;0,1474;0,2064;8;6;962599,9772;913456,46
4r;1;Fustal;13;Palma cumare;Astrocaryum chambira Burret;Arecaceae;15;11;68,5;0,22;0,0373;0,2670;0,3641;6;6;962612,1957;913456,4552
4r;2;Fustal;14;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;16;10;79,5;0,25;0,0503;0,3269;0,5231;8;10;962583,871;913456,0977
4r;3;Fustal;15;Brasil;Hymenaea oblongifolia Huber;Fabaceae;19;14;135;0,43;0,1450;1,3198;1,7911;12;14;962585,9093;913461,073
4r;3;Fustal;16;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;12;5;34;0,11;0,0092;0,0299;0,0718;6;8;962583,3155;913455,7293
4r;3;Fustal;17;Reventillo;Mabea trianae Pax;Euphorbiaceae;12;8;43;0,14;0,0147;0,0765;0,1148;8;8;962605,7126;913447,2427
4r;3;Fustal;18;Uvero;Coccoloba caracasana Meisn.;Polygonaceae;16;10;107;0,34;0,0911;0,5922;0,9475;7;9;962600,7121;913441,8999
4r;3;Fustal;19;Uvero;Coccoloba caracasana Meisn.;Polygonaceae;15;11;65;0,21;0,0336;0,2404;0,3278;8;6;962595,8974;913438,5843
4r;3;Fustal;20;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;18;12;76;0,24;0,0460;0,3585;0,5378;10;10;962593,3042;913434,8993
4r;3;Fustal;21;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;11;4;44;0,14;0,0154;0,0401;0,1102;8;8;962590,1567;913433,979
4r;3;Fustal;22;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;13;7;62;0,20;0,0306;0,1392;0,2585;8;8;962584,2299;913426,9779
